"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"ddtidp_829","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI transverse temporal sulcus","","","dmri_dti.md.gm_cort.destrieux_s.temporal.transverse.lh,dmri_dtimdgm_cortdestrieux_stemporaltransverselh"
"ddtidp_830","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI fronto-marginal gyrus and sulcus","","","dmri_dti.md.gm_cort.destrieux_g.and.s.frontomargin.rh,dmri_dtimdgm_cortdestrieux_gandsfrontomarginrh"
"ddtidp_831","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI inferior occipital gyrus and sulcus","","","dmri_dti.md.gm_cort.destrieux_g.and.s.occipital.inf.rh,dmri_dtimdgm_cortdestrieux_gandsoccipitalinfrh"
"ddtidp_832","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI paracentral lobule and sulcus","","","dmri_dti.md.gm_cort.destrieux_g.and.s.paracentral.rh,dmri_dtimdgm_cortdestrieux_gandsparacentralrh"
"ddtidp_833","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI subcentral gyrus and sulci","","","dmri_dti.md.gm_cort.destrieux_g.and.s.subcentral.rh,dmri_dtimdgm_cortdestrieux_gandssubcentralrh"
"ddtidp_834","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI transverse frontopolar gyri and sulci","","","dmri_dti.md.gm_cort.destrieux_g.and.s.transv.frontopol.rh,dmri_dtimdgm_cortdestrieux_gandstransvfrontopolrh"
"ddtidp_835","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI anterior part of the cingulate gyrus and sulcus","","","dmri_dti.md.gm_cort.destrieux_g.and.s.cingul.ant.rh,dmri_dtimdgm_cortdestrieux_gandscingulantrh"
"ddtidp_836","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI middle-anterior part of the cingulate gyrus and sulcus","","","dmri_dti.md.gm_cort.destrieux_g.and.s.cingul.mid.ant.rh,dmri_dtimdgm_cortdestrieux_gandscingulmidantrh"
"ddtidp_837","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI middle-posterior part of the cingulate gyrus and sulcus","","","dmri_dti.md.gm_cort.destrieux_g.and.s.cingul.mid.post.rh,dmri_dtimdgm_cortdestrieux_gandscingulmidpostrh"
"ddtidp_838","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI posterior-dorsal part of the cingulate gyrus","","","dmri_dti.md.gm_cort.destrieux_g.cingul.post.dorsal.rh,dmri_dtimdgm_cortdestrieux_gcingulpostdorsalrh"
"ddtidp_839","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI posterior-ventral part of the cingulate gyrus","","","dmri_dti.md.gm_cort.destrieux_g.cingul.post.ventral.rh,dmri_dtimdgm_cortdestrieux_gcingulpostventralrh"
"ddtidp_840","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI cuneus","","","dmri_dti.md.gm_cort.destrieux_g.cuneus.rh,dmri_dtimdgm_cortdestrieux_gcuneusrh"
"ddtidp_841","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI opercular part of the inferior frontal gyrus","","","dmri_dti.md.gm_cort.destrieux_g.front.inf.opercular.rh,dmri_dtimdgm_cortdestrieux_gfrontinfopercularrh"
"ddtidp_842","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI orbital part of the inferior frontal gyrus","","","dmri_dti.md.gm_cort.destrieux_g.front.inf.orbital.rh,dmri_dtimdgm_cortdestrieux_gfrontinforbitalrh"
