"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"tfsstabwdp_815","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI fronto-marginal gyrus and sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.and.s.frontomargin.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gandsfrontomarginrh"
"tfsstabwdp_816","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI inferior occipital gyrus and sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.and.s.occipital.inf.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gandsoccipitalinfrh"
"tfsstabwdp_817","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI paracentral lobule and sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.and.s.paracentral.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gandsparacentralrh"
"tfsstabwdp_818","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI subcentral gyrus and sulci","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.and.s.subcentral.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gandssubcentralrh"
"tfsstabwdp_819","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI transverse frontopolar gyri and sulci","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.and.s.transv.frontopol.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gandstransvfrontopolrh"
"tfsstabwdp_820","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI anterior part of the cingulate gyrus and sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.and.s.cingul.ant.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gandscingulantrh"
"tfsstabwdp_821","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI middle-anterior part of the cingulate gyrus and sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.and.s.cingul.mid.ant.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gandscingulmidantrh"
"tfsstabwdp_822","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI middle-posterior part of the cingulate gyrus and sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.and.s.cingul.mid.post.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gandscingulmidpostrh"
"tfsstabwdp_823","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI posterior-dorsal part of the cingulate gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.cingul.post.dorsal.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gcingulpostdorsalrh"
"tfsstabwdp_824","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI posterior-ventral part of the cingulate gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.cingul.post.ventral.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gcingulpostventralrh"
